pattern_type,entity_1,entity_2,relation,detail,split
cross_case_link,P-0161,P-0185,money_mule_link,A-0200>A-0229,test
cross_case_link,P-0117,P-0360,money_mule_link,CHAIN-0143:A-0141>A-0456>A-0222>A-0455>A-0445,train
cross_case_link,CASE-018,CASE-006,money_mule_link,CHAIN-0128:A-0289>A-0279>A-0349>A-0050,train
cross_case_link,P-0128,P-0057,money_mule_link,A-0156>A-0069,train
cross_case_link,P-0141,P-0044,money_mule_link,A-0176>A-0052,train
cross_case_link,CASE-056,CASE-006,money_mule_link,CHAIN-0034:A-0431>A-0176>A-0052>A-0156,train
cross_case_link,P-0202,P-0391,money_mule_link,A-0253>A-0480,train
cross_case_link,P-0157,P-0207,money_mule_link,A-0195>A-0258,train
cross_case_link,CASE-059,CASE-029,money_mule_link,CHAIN-0025:A-0036>A-0345>A-0441>A-0068>A-0368,train
cross_case_link,CASE-032,CASE-002,money_mule_link,CHAIN-0037:A-0010>A-0429>A-0225>A-0341,test
cross_case_link,P-0085,P-0236,money_mule_link,A-0101>A-0293,train
cross_case_link,P-0117,P-0369,money_mule_link,A-0141>A-0456,test
cross_case_link,P-0236,P-0137,money_mule_link,CHAIN-0001:A-0293>A-0115>A-0170,train
cross_case_link,P-0197,P-0157,money_mule_link,A-0245>A-0195,train
cross_case_link,P-0333,P-0244,money_mule_link,A-0409>A-0303,train
cross_case_link,P-0289,P-0202,money_mule_link,A-0354>A-0253,test
cross_case_link,P-0340,P-0060,money_mule_link,CHAIN-0050:A-0419>A-0272>A-0072,train
cross_case_link,P-0312,P-0236,money_mule_link,A-0384>A-0293,test
cross_case_link,P-0299,P-0001,money_mule_link,A-0368>A-0001,train
cross_case_link,P-0074,P-0311,money_mule_link,CHAIN-0038:A-0089>A-0016>A-0208>A-0383,train
cross_case_link,P-0388,P-0325,money_mule_link,A-0477>A-0398,test
cross_case_link,P-0314,P-0042,money_mule_link,A-0386>A-0049,test
cross_case_link,P-0325,P-0258,money_mule_link,CHAIN-0083:A-0398>A-0072>A-0381>A-0288>A-0321,train
cross_case_link,CASE-007,CASE-007,money_mule_link,CHAIN-0150:A-0204>A-0084>A-0287>A-0480,test
identity_resolution,P-0378,P-0379,same_individual_alias,PH-0288,train
cross_case_link,P-0050,P-0341,money_mule_link,A-0059>A-0421,test
cross_case_link,P-0083,P-0376,money_mule_link,A-0099>A-0463,test
cross_case_link,P-0009,P-0201,money_mule_link,A-0010>A-0251,test
cross_case_link,P-0004,P-0135,money_mule_link,CHAIN-0174:A-0005>A-0048>A-0110>A-0123>A-0167,train
cross_case_link,P-0350,P-0128,money_mule_link,CHAIN-0034:A-0431>A-0176>A-0052>A-0156,train
cross_case_link,P-0373,P-0252,shared_burner_phone,PH-0373,test
cross_case_link,P-0050,P-0070,money_mule_link,CHAIN-0167:A-0059>A-0476>A-0026>A-0084,train
cross_case_link,P-0270,P-0053,money_mule_link,A-0333>A-0062,train
cross_case_link,P-0041,P-0091,money_mule_link,A-0048>A-0110,train
cross_case_link,P-0011,P-0005,money_mule_link,A-0013>A-0006,train
identity_resolution,P-0295,P-0342,same_individual_alias,PH-0295,train
cross_case_link,P-0141,P-0001,money_mule_link,A-0176>A-0001,test
cross_case_link,CASE-060,CASE-017,money_mule_link,CHAIN-0148:A-0110>A-0281>A-0447>A-0486>A-0323,train
cross_case_link,P-0226,P-0190,money_mule_link,CHAIN-0002:A-0281>A-0174>A-0236,test
cross_case_link,P-0315,P-0387,money_mule_link,A-0387>A-0476,train
cross_case_link,CASE-029,CASE-010,money_mule_link,CHAIN-0005:A-0368>A-0001>A-0311>A-0155,train
identity_resolution,P-0162,P-0362,same_individual_alias,PH-0162,train
cross_case_link,P-0278,P-0334,money_mule_link,A-0343>A-0410,train
cross_case_link,P-0295,P-0151,money_mule_link,A-0363>A-0189,test
cross_case_link,CASE-008,CASE-031,money_mule_link,CHAIN-0100:A-0281>A-0426>A-0189>A-0096>A-0468,train
cross_case_link,P-0149,P-0342,money_mule_link,A-0186>A-0423,train
identity_resolution,P-0252,P-0386,same_individual_alias,PH-0252,train
cross_case_link,P-0399,P-0377,money_mule_link,A-0490>A-0464,train
cross_case_link,P-0001,P-0338,money_mule_link,A-0001>A-0416,train
cross_case_link,P-0320,P-0305,money_mule_link,CHAIN-0063:A-0393>A-0298>A-0375,train
cross_case_link,P-0388,P-0134,money_mule_link,A-0477>A-0166,train
identity_resolution,P-0354,P-0355,same_individual_alias,PH-0086,train
cross_case_link,P-0187,P-0130,money_mule_link,A-0232>A-0159,test
cross_case_link,P-0369,P-0179,money_mule_link,A-0456>A-0222,train
cross_case_link,P-0343,P-0367,money_mule_link,A-0424>A-0454,test
cross_case_link,P-0379,P-0314,money_mule_link,A-0466>A-0386,train
cross_case_link,P-0158,P-0301,money_mule_link,A-0196>A-0370,train
cross_case_link,P-0350,P-0129,money_mule_link,A-0431>A-0158,train
cross_case_link,CASE-043,CASE-039,money_mule_link,CHAIN-0075:A-0086>A-0298>A-0370>A-0205,train
cross_case_link,P-0103,P-0381,shared_burner_phone,PH-0103,train
cross_case_link,P-0081,P-0052,money_mule_link,A-0097>A-0061,train
cross_case_link,P-0016,P-0106,money_mule_link,A-0020>A-0129,train
cross_case_link,P-0164,P-0277,money_mule_link,A-0203>A-0341,train
cross_case_link,P-0351,P-0378,money_mule_link,A-0432>A-0465,train
cross_case_link,P-0325,P-0344,money_mule_link,A-0398>A-0425,train
cross_case_link,P-0016,P-0296,money_mule_link,CHAIN-0096:A-0020>A-0129>A-0364,train
cross_case_link,P-0228,P-0155,money_mule_link,CHAIN-0029:A-0285>A-0453>A-0193,train
cross_case_link,P-0250,P-0396,money_mule_link,A-0309>A-0486,train
cross_case_link,P-0015,P-0366,money_mule_link,A-0019>A-0453,train
cross_case_link,P-0289,P-0394,money_mule_link,A-0354>A-0483,train
cross_case_link,P-0348,P-0181,money_mule_link,A-0429>A-0225,train
cross_case_link,P-0107,P-0383,money_mule_link,A-0130>A-0471,train
cross_case_link,P-0205,P-0367,money_mule_link,A-0256>A-0454,train
