event_id,case_id,person_id,event_type,timestamp,location
EVT-00001,CASE-025,P-0001,SMS Sent,2025-03-23 15:21:55,"Jodhpur, Rajasthan"
EVT-00002,CASE-030,P-0001,Bank Login,2024-06-29 11:14:15,"Lucknow, Uttar Pradesh"
EVT-00003,CASE-025,P-0001,Call Made,2023-12-17 18:59:11,"Kanpur, Uttar Pradesh"
EVT-00004,CASE-018,P-0002,ATM Withdrawal,2023-01-01 22:13:29,"Kolkata, West Bengal"
EVT-00005,CASE-018,P-0002,SMS Sent,2023-08-13 05:57:53,"Nagpur, Maharashtra"
EVT-00006,CASE-045,P-0003,SMS Sent,2024-04-15 11:20:59,"Coimbatore, Tamil Nadu"
EVT-00007,CASE-045,P-0003,Call Received,2023-02-06 12:21:10,"Pune, Maharashtra"
EVT-00008,CASE-045,P-0003,Location Ping,2023-07-08 02:01:23,"Coimbatore, Tamil Nadu"
EVT-00009,CASE-008,P-0004,Call Made,2024-01-29 16:42:02,"Kanpur, Uttar Pradesh"
EVT-00010,CASE-008,P-0004,SMS Sent,2024-07-09 09:05:55,"Jodhpur, Rajasthan"
EVT-00011,CASE-011,P-0005,Location Ping,2024-08-25 08:16:03,"Jaipur, Rajasthan"
EVT-00012,CASE-019,P-0006,SMS Sent,2025-08-19 23:36:11,"Chandigarh, Punjab"
EVT-00013,CASE-019,P-0006,ATM Withdrawal,2025-08-13 01:31:25,"Chandigarh, Punjab"
EVT-00014,CASE-040,P-0007,Call Made,2025-02-15 17:09:32,"Surat, Gujarat"
EVT-00015,CASE-015,P-0008,Location Ping,2025-12-24 09:26:08,"Patna, Bihar"
EVT-00016,CASE-015,P-0008,Bank Login,2023-06-02 05:57:32,"Lucknow, Uttar Pradesh"
EVT-00017,CASE-015,P-0008,ATM Withdrawal,2025-01-31 16:01:27,"Pune, Maharashtra"
EVT-00018,CASE-032,P-0009,SMS Sent,2023-05-15 21:12:20,"Patna, Bihar"
EVT-00019,CASE-056,P-0009,Bank Login,2023-05-23 23:49:46,"Nagpur, Maharashtra"
EVT-00020,CASE-032,P-0009,ATM Withdrawal,2025-09-07 16:31:32,"Bengaluru Urban, Karnataka"
EVT-00021,CASE-056,P-0009,SMS Sent,2024-06-08 02:32:19,"Hyderabad, Telangana"
EVT-00022,CASE-018,P-0010,Location Ping,2024-04-26 06:41:14,"New Delhi, Delhi"
EVT-00023,CASE-001,P-0010,Call Received,2025-08-11 09:02:15,"Lucknow, Uttar Pradesh"
EVT-00024,CASE-018,P-0010,Call Made,2025-11-28 06:47:54,"Mysuru, Karnataka"
EVT-00025,CASE-018,P-0010,Bank Login,2024-11-21 09:33:01,"Nagpur, Maharashtra"
EVT-00026,CASE-021,P-0011,Location Ping,2025-12-18 22:55:45,"Chandigarh, Punjab"
EVT-00027,CASE-021,P-0011,Bank Login,2025-10-12 11:47:19,"Mumbai, Maharashtra"
EVT-00028,CASE-060,P-0012,ATM Withdrawal,2025-03-13 17:19:35,"Patna, Bihar"
EVT-00029,CASE-060,P-0012,SMS Sent,2024-03-31 18:21:08,"Chennai, Tamil Nadu"
EVT-00030,CASE-060,P-0012,Location Ping,2025-07-22 19:23:27,"Surat, Gujarat"
EVT-00031,CASE-037,P-0013,ATM Withdrawal,2023-08-29 11:13:12,"Nagpur, Maharashtra"
EVT-00032,CASE-037,P-0013,SMS Sent,2025-01-25 08:37:08,"Hyderabad, Telangana"
EVT-00033,CASE-037,P-0013,SMS Sent,2025-10-12 18:05:51,"Chennai, Tamil Nadu"
EVT-00034,CASE-037,P-0013,Call Made,2024-04-14 13:41:22,"Chennai, Tamil Nadu"
EVT-00035,CASE-003,P-0014,ATM Withdrawal,2025-06-25 13:03:34,"Patna, Bihar"
EVT-00036,CASE-003,P-0014,ATM Withdrawal,2024-11-21 18:21:55,"Bengaluru Urban, Karnataka"
EVT-00037,CASE-050,P-0015,Call Received,2023-07-25 01:16:46,"Bhopal, Madhya Pradesh"
EVT-00038,CASE-026,P-0016,SMS Sent,2024-07-23 14:39:31,"Lucknow, Uttar Pradesh"
EVT-00039,CASE-007,P-0017,ATM Withdrawal,2025-04-24 06:34:32,"Bengaluru Urban, Karnataka"
EVT-00040,CASE-001,P-0018,Call Made,2024-03-09 06:13:40,"Lucknow, Uttar Pradesh"
EVT-00041,CASE-001,P-0018,Call Made,2023-04-12 05:54:46,"Nagpur, Maharashtra"
EVT-00042,CASE-001,P-0018,ATM Withdrawal,2024-07-09 13:52:55,"Patna, Bihar"
EVT-00043,CASE-001,P-0018,Bank Login,2024-01-13 20:20:40,"Mysuru, Karnataka"
EVT-00044,CASE-014,P-0019,Call Received,2023-05-15 04:23:15,"Chandigarh, Punjab"
EVT-00045,CASE-042,P-0020,SMS Sent,2025-10-22 01:26:13,"New Delhi, Delhi"
EVT-00046,CASE-042,P-0020,Bank Login,2024-02-13 13:35:59,"Patna, Bihar"
EVT-00047,CASE-043,P-0021,Bank Login,2024-10-03 23:17:30,"Bengaluru Urban, Karnataka"
EVT-00048,CASE-055,P-0022,Call Received,2023-08-17 22:59:39,"Ahmedabad, Gujarat"
EVT-00049,CASE-050,P-0023,Call Made,2024-07-31 15:53:31,"Mumbai, Maharashtra"
EVT-00050,CASE-050,P-0023,Call Made,2025-03-25 21:07:50,"Warangal, Telangana"
EVT-00051,CASE-051,P-0024,Call Received,2024-05-11 08:54:42,"Hyderabad, Telangana"
EVT-00052,CASE-001,P-0025,Call Received,2025-10-28 13:04:10,"Patna, Bihar"
EVT-00053,CASE-056,P-0025,SMS Sent,2023-11-29 15:03:54,"Bengaluru Urban, Karnataka"
EVT-00054,CASE-001,P-0025,SMS Sent,2025-05-09 02:32:51,"New Delhi, Delhi"
EVT-00055,CASE-001,P-0025,Call Received,2025-11-02 06:37:57,"Mysuru, Karnataka"
EVT-00056,CASE-034,P-0026,SMS Sent,2025-03-08 12:21:52,"Nagpur, Maharashtra"
EVT-00057,CASE-034,P-0026,Call Received,2025-08-31 22:03:08,"Lucknow, Uttar Pradesh"
EVT-00058,CASE-018,P-0027,Location Ping,2024-09-23 07:22:19,"Mumbai, Maharashtra"
EVT-00059,CASE-018,P-0027,Call Made,2024-05-12 20:38:34,"Jodhpur, Rajasthan"
EVT-00060,CASE-018,P-0027,Call Received,2025-11-09 09:08:59,"Jaipur, Rajasthan"
EVT-00061,CASE-037,P-0028,Bank Login,2023-12-16 02:12:29,"Mysuru, Karnataka"
EVT-00062,CASE-037,P-0028,Bank Login,2025-03-02 13:17:58,"Lucknow, Uttar Pradesh"
EVT-00063,CASE-037,P-0028,Call Received,2025-07-19 11:33:00,"Kolkata, West Bengal"
EVT-00064,CASE-037,P-0028,SMS Sent,2023-04-27 14:16:06,"Lucknow, Uttar Pradesh"
