txn_id,sender_account_id,receiver_account_id,amount_inr,timestamp,mode
TXN-00001,A-0185,A-0323,30092.29,2023-08-24 12:28:32,NEFT
TXN-00002,A-0404,A-0117,6640.75,2024-10-28 03:40:28,NEFT
TXN-00003,A-0471,A-0210,40463.9,2025-03-12 19:39:50,UPI
TXN-00004,A-0484,A-0016,20194.75,2023-01-16 10:54:53,IMPS
TXN-00005,A-0044,A-0174,14508.8,2023-09-13 06:28:05,NEFT
TXN-00006,A-0032,A-0202,34284.06,2025-10-22 13:09:05,RTGS
TXN-00007,A-0463,A-0295,3072.54,2025-09-08 04:02:11,UPI
TXN-00008,A-0215,A-0206,39917.34,2025-12-24 15:21:34,UPI
TXN-00009,A-0370,A-0381,14459.44,2024-06-18 15:06:59,IMPS
TXN-00010,A-0424,A-0144,40559.28,2025-08-06 05:24:03,RTGS
TXN-00011,A-0359,A-0207,20355.41,2023-11-15 15:56:01,NEFT
TXN-00012,A-0358,A-0177,40001.53,2025-10-04 19:24:51,NEFT
TXN-00013,A-0398,A-0102,39703.37,2023-05-11 22:13:14,IMPS
TXN-00014,A-0276,A-0172,17854.71,2023-07-15 17:49:51,UPI
TXN-00015,A-0110,A-0048,23269.39,2024-04-30 01:36:49,UPI
TXN-00016,A-0388,A-0326,7621.22,2023-02-13 07:51:36,UPI
TXN-00017,A-0124,A-0427,34950.02,2024-10-18 17:06:31,IMPS
TXN-00018,A-0375,A-0031,37950.46,2024-02-08 12:25:21,UPI
TXN-00019,A-0064,A-0025,34166.92,2023-07-13 19:00:35,NEFT
TXN-00020,A-0153,A-0294,33290.21,2024-12-04 22:33:02,UPI
TXN-00021,A-0121,A-0413,33686.23,2025-06-22 11:23:21,RTGS
TXN-00022,A-0180,A-0154,13161.83,2025-06-08 18:15:15,RTGS
TXN-00023,A-0366,A-0194,23625.17,2024-01-20 16:26:23,IMPS
TXN-00024,A-0168,A-0265,26415.42,2024-07-15 05:01:47,NEFT
TXN-00025,A-0051,A-0076,32168.0,2024-10-02 02:26:51,IMPS
TXN-00026,A-0048,A-0032,19407.46,2023-07-22 01:06:43,NEFT
TXN-00027,A-0110,A-0229,3974.23,2025-11-17 09:46:10,NEFT
TXN-00028,A-0302,A-0287,23593.05,2024-09-05 06:33:26,UPI
TXN-00029,A-0300,A-0256,28822.52,2024-11-14 15:22:11,NEFT
TXN-00030,A-0375,A-0214,37159.63,2023-08-13 05:36:56,RTGS
TXN-00031,A-0249,A-0365,20868.22,2025-12-30 10:35:02,IMPS
TXN-00032,A-0356,A-0109,20766.74,2023-02-20 15:41:29,RTGS
TXN-00033,A-0484,A-0287,16935.28,2023-07-04 11:55:10,NEFT
TXN-00034,A-0057,A-0062,16946.58,2024-03-25 20:43:09,IMPS
TXN-00035,A-0268,A-0079,5739.53,2024-04-18 16:24:45,UPI
TXN-00036,A-0156,A-0151,22123.69,2023-08-10 22:33:25,RTGS
TXN-00037,A-0402,A-0302,19268.19,2024-04-19 01:20:13,UPI
TXN-00038,A-0111,A-0094,36951.07,2025-01-29 07:32:54,IMPS
TXN-00039,A-0063,A-0281,16014.88,2023-03-11 09:53:00,NEFT
TXN-00040,A-0247,A-0294,14281.73,2024-12-03 17:44:27,UPI
TXN-00041,A-0401,A-0194,21647.63,2025-07-29 22:29:41,RTGS
TXN-00042,A-0391,A-0071,22961.99,2024-12-17 00:56:44,NEFT
TXN-00043,A-0342,A-0230,7129.73,2024-05-20 04:56:31,IMPS
TXN-00044,A-0410,A-0320,30070.35,2024-09-28 08:03:03,NEFT
TXN-00045,A-0120,A-0461,18095.17,2025-04-20 09:44:06,IMPS
TXN-00046,A-0491,A-0344,40106.92,2024-03-06 21:17:35,IMPS
TXN-00047,A-0444,A-0085,31970.78,2025-06-07 13:30:41,UPI
TXN-00048,A-0288,A-0331,6008.28,2025-05-18 22:11:05,IMPS
TXN-00049,A-0099,A-0490,28032.33,2025-06-15 02:44:05,IMPS
TXN-00050,A-0491,A-0292,23718.04,2025-01-09 04:26:25,IMPS
TXN-00051,A-0062,A-0338,42160.09,2023-10-07 05:19:10,IMPS
TXN-00052,A-0141,A-0403,9658.32,2025-06-19 07:17:33,NEFT
TXN-00053,A-0044,A-0414,24242.7,2024-05-12 18:32:22,NEFT
TXN-00054,A-0302,A-0024,22370.55,2023-02-06 03:19:00,UPI
TXN-00055,A-0224,A-0093,18964.67,2025-03-31 01:36:14,UPI
TXN-00056,A-0196,A-0132,4550.62,2023-06-04 07:25:34,RTGS
TXN-00057,A-0147,A-0074,8628.77,2023-05-20 05:35:42,RTGS
TXN-00058,A-0158,A-0488,18623.8,2023-09-20 19:53:58,IMPS
TXN-00059,A-0315,A-0493,14975.44,2023-02-12 05:00:55,IMPS
TXN-00060,A-0153,A-0200,4894.12,2023-08-10 07:18:51,NEFT
TXN-00061,A-0458,A-0166,11978.08,2023-07-07 21:56:57,IMPS
TXN-00062,A-0104,A-0123,33969.95,2025-06-29 08:44:51,RTGS
TXN-00063,A-0253,A-0261,33981.35,2024-08-21 03:39:18,IMPS
TXN-00064,A-0138,A-0032,14665.97,2025-05-09 05:50:55,NEFT
TXN-00065,A-0034,A-0248,1786.34,2025-09-11 04:07:53,RTGS
TXN-00066,A-0468,A-0454,1328.72,2025-05-10 17:25:22,IMPS
TXN-00067,A-0127,A-0391,25184.48,2023-07-15 01:38:20,UPI
TXN-00068,A-0291,A-0209,20346.21,2025-09-14 16:18:16,RTGS
TXN-00069,A-0401,A-0073,17112.08,2023-09-19 06:30:55,RTGS
TXN-00070,A-0276,A-0488,19356.98,2025-05-12 09:34:33,NEFT
TXN-00071,A-0022,A-0001,36662.65,2025-08-22 06:29:19,UPI
TXN-00072,A-0335,A-0086,524.16,2025-01-19 01:12:24,UPI
TXN-00073,A-0307,A-0129,37857.2,2024-08-13 13:09:00,UPI
TXN-00074,A-0432,A-0324,9967.56,2025-03-03 18:25:21,UPI
TXN-00075,A-0024,A-0083,33393.64,2025-05-24 17:12:10,IMPS
TXN-00076,A-0154,A-0046,18091.07,2023-07-11 00:54:48,RTGS
TXN-00077,A-0372,A-0285,44947.55,2024-11-02 00:43:36,RTGS
TXN-00078,A-0313,A-0259,43105.06,2024-05-09 11:13:51,UPI
TXN-00079,A-0326,A-0134,44094.0,2024-12-04 06:33:12,UPI
TXN-00080,A-0126,A-0340,44244.48,2024-06-14 16:52:56,RTGS
TXN-00081,A-0236,A-0492,27178.36,2023-01-25 15:50:54,RTGS
TXN-00082,A-0331,A-0473,591.11,2025-01-10 06:17:13,IMPS
TXN-00083,A-0462,A-0005,30435.43,2024-10-03 19:50:03,NEFT
TXN-00084,A-0391,A-0202,24446.85,2025-10-05 08:06:01,IMPS
TXN-00085,A-0276,A-0016,40219.46,2025-11-09 07:33:01,NEFT
TXN-00086,A-0345,A-0064,16208.27,2024-08-07 16:19:51,UPI
TXN-00087,A-0199,A-0091,37841.99,2025-12-18 19:10:00,IMPS
TXN-00088,A-0064,A-0237,16986.39,2023-10-27 19:13:14,NEFT
TXN-00089,A-0005,A-0114,33569.93,2024-03-12 17:27:11,UPI
TXN-00090,A-0099,A-0047,36824.5,2025-08-29 06:30:30,UPI
TXN-00091,A-0414,A-0368,10341.07,2025-02-06 02:31:17,UPI
TXN-00092,A-0019,A-0144,22431.29,2025-12-29 16:48:02,RTGS
TXN-00093,A-0004,A-0101,44299.73,2025-09-18 18:37:23,NEFT
TXN-00094,A-0057,A-0446,12841.97,2025-02-16 05:29:30,NEFT
TXN-00095,A-0088,A-0283,9122.78,2025-05-28 19:05:14,RTGS
TXN-00096,A-0034,A-0302,6206.96,2023-04-12 01:12:52,RTGS
TXN-00097,A-0133,A-0478,25860.7,2023-12-21 03:09:27,UPI
TXN-00098,A-0099,A-0435,30670.05,2025-12-12 12:23:01,UPI
TXN-00099,A-0349,A-0287,39798.04,2023-01-04 00:53:10,NEFT
TXN-00100,A-0329,A-0345,42466.8,2023-03-22 13:35:06,UPI
TXN-00101,A-0222,A-0433,44782.24,2024-03-01 16:47:15,IMPS
TXN-00102,A-0349,A-0266,21263.11,2024-07-15 12:38:49,IMPS
TXN-00103,A-0453,A-0370,10492.4,2024-03-07 18:05:39,NEFT
TXN-00104,A-0273,A-0230,14572.77,2024-08-31 17:33:29,RTGS
TXN-00105,A-0172,A-0042,39664.38,2023-02-09 09:56:03,RTGS
TXN-00106,A-0354,A-0217,43121.02,2024-01-24 08:05:06,RTGS
TXN-00107,A-0085,A-0169,14330.86,2025-08-30 10:46:24,IMPS
TXN-00108,A-0015,A-0246,19721.73,2023-02-07 07:39:43,UPI
TXN-00109,A-0431,A-0129,11498.33,2025-01-05 16:12:45,RTGS
TXN-00110,A-0491,A-0175,37547.03,2024-06-02 05:04:44,RTGS
TXN-00111,A-0484,A-0038,35020.85,2025-08-20 11:06:55,NEFT
TXN-00112,A-0392,A-0049,28328.02,2025-06-18 08:14:29,IMPS
TXN-00113,A-0044,A-0032,41293.79,2024-08-09 06:18:37,UPI
