pattern_type,entity_1,entity_2,relation,detail,split
identity_resolution,P-0044,P-0635,same_individual_alias,,train
cross_case_link,CASE-011,CASE-041,shared_phone,PH-0811,train
cross_case_link,CASE-043,CASE-033,shared_vehicle,V-0101,train
identity_resolution,P-0085,P-0616,same_individual_alias,,train
identity_resolution,P-0077,P-0640,same_individual_alias,,train
identity_resolution,P-0329,P-0623,same_individual_alias,,train
identity_resolution,P-0528,P-0592,same_individual_alias,,train
cross_case_link,CASE-030,CASE-027,shared_vehicle,V-0204,train
identity_resolution,P-0205,P-0588,same_individual_alias,,train
identity_resolution,P-0509,P-0612,same_individual_alias,,train
hidden_multi_hop_chain,P-0180,P-0256,2-hop chain,"CHAIN-18 (via PH-0184, A-0461)",train
identity_resolution,P-0448,P-0606,same_individual_alias,,train
identity_resolution,P-0196,P-0598,same_individual_alias,,train
identity_resolution,P-0485,P-0595,same_individual_alias,,train
identity_resolution,P-0164,P-0644,same_individual_alias,,train
cross_case_link,CASE-011,CASE-038,shared_vehicle,V-0184,train
identity_resolution,P-0336,P-0626,same_individual_alias,,train
hidden_multi_hop_chain,P-0421,P-0114,3-hop chain,"CHAIN-08 (via PH-0133, A-0275, V-0215)",train
identity_resolution,P-0081,P-0618,same_individual_alias,,train
cross_case_link,CASE-025,CASE-055,shared_phone,PH-0867,train
identity_resolution,P-0377,P-0605,same_individual_alias,,train
cross_case_link,CASE-039,CASE-037,shared_vehicle,V-0005,train
identity_resolution,P-0446,P-0637,same_individual_alias,,train
identity_resolution,P-0362,P-0636,same_individual_alias,,train
identity_resolution,P-0036,P-0648,same_individual_alias,,train
identity_resolution,P-0441,P-0619,same_individual_alias,,train
identity_resolution,P-0082,P-0625,same_individual_alias,,train
hidden_multi_hop_chain,P-0487,P-0584,3-hop chain,"CHAIN-03 (via PH-0463, A-0328, V-0156)",train
identity_resolution,P-0301,P-0622,same_individual_alias,,train
cross_case_link,CASE-036,CASE-025,shared_vehicle,V-0155,train
identity_resolution,P-0314,P-0628,same_individual_alias,,train
cross_case_link,CASE-026,CASE-043,shared_vehicle,V-0280,train
identity_resolution,P-0059,P-0639,same_individual_alias,,train
identity_resolution,P-0303,P-0627,same_individual_alias,,train
identity_resolution,P-0532,P-0614,same_individual_alias,,train
identity_resolution,P-0293,P-0599,same_individual_alias,,train
identity_resolution,P-0147,P-0646,same_individual_alias,,train
hidden_multi_hop_chain,P-0644,P-0299,2-hop chain,"CHAIN-22 (via PH-0683, A-0470)",train
hidden_multi_hop_chain,P-0108,P-0334,2-hop chain,"CHAIN-25 (via PH-0420, A-0231)",train
hidden_multi_hop_chain,P-0069,P-0506,2-hop chain,"CHAIN-23 (via PH-0422, A-0391)",train
identity_resolution,P-0069,P-0650,same_individual_alias,,train
cross_case_link,CASE-011,CASE-036,shared_vehicle,V-0330,train
identity_resolution,P-0396,P-0609,same_individual_alias,,train
cross_case_link,CASE-002,CASE-064,shared_phone,PH-0756,train
hidden_multi_hop_chain,P-0457,P-0409,2-hop chain,"CHAIN-13 (via PH-0620, A-0414)",train
identity_resolution,P-0171,P-0631,same_individual_alias,,train
hidden_multi_hop_chain,P-0470,P-0207,2-hop chain,"CHAIN-12 (via PH-0008, A-0074)",train
hidden_multi_hop_chain,P-0045,P-0162,2-hop chain,"CHAIN-21 (via PH-0281, A-0452)",train
cross_case_link,CASE-017,CASE-040,shared_phone,PH-0592,train
cross_case_link,CASE-047,CASE-005,shared_vehicle,V-0037,train
cross_case_link,CASE-073,CASE-005,shared_phone,PH-0024,train
identity_resolution,P-0282,P-0638,same_individual_alias,,train
identity_resolution,P-0410,P-0607,same_individual_alias,,train
identity_resolution,P-0373,P-0642,same_individual_alias,,train
cross_case_link,CASE-071,CASE-060,shared_phone,PH-0602,train
identity_resolution,P-0043,P-0589,same_individual_alias,,train
identity_resolution,P-0559,P-0621,same_individual_alias,,train
