case_id,person_id,role
CASE-001,P-0420,Person of Interest
CASE-001,P-0470,Witness
CASE-001,P-0529,Suspect
CASE-001,P-0371,Suspect
CASE-001,P-0031,Suspect
CASE-002,P-0323,Suspect
CASE-002,P-0412,Person of Interest
CASE-002,P-0169,Suspect
CASE-002,P-0445,Witness
CASE-003,P-0060,Victim
CASE-003,P-0647,Victim
CASE-003,P-0533,Victim
CASE-003,P-0303,Suspect
CASE-003,P-0430,Victim
CASE-003,P-0412,Witness
CASE-004,P-0457,Person of Interest
CASE-004,P-0211,Victim
CASE-004,P-0558,Person of Interest
CASE-004,P-0640,Witness
CASE-004,P-0634,Victim
CASE-005,P-0038,Victim
CASE-005,P-0551,Person of Interest
CASE-006,P-0533,Witness
CASE-006,P-0554,Suspect
CASE-006,P-0291,Victim
CASE-007,P-0349,Victim
CASE-007,P-0164,Witness
CASE-007,P-0024,Victim
CASE-007,P-0029,Person of Interest
CASE-007,P-0553,Suspect
CASE-007,P-0607,Suspect
CASE-008,P-0266,Suspect
CASE-008,P-0643,Suspect
CASE-008,P-0520,Suspect
CASE-008,P-0363,Person of Interest
CASE-009,P-0587,Witness
CASE-009,P-0006,Witness
CASE-009,P-0465,Victim
CASE-009,P-0348,Victim
CASE-010,P-0587,Witness
CASE-010,P-0144,Suspect
CASE-010,P-0387,Victim
CASE-010,P-0533,Witness
CASE-011,P-0466,Person of Interest
CASE-011,P-0101,Suspect
CASE-011,P-0151,Suspect
CASE-011,P-0436,Suspect
CASE-012,P-0134,Victim
CASE-012,P-0488,Person of Interest
CASE-012,P-0220,Person of Interest
CASE-012,P-0457,Victim
CASE-012,P-0080,Person of Interest
CASE-013,P-0451,Witness
CASE-013,P-0502,Person of Interest
CASE-013,P-0427,Person of Interest
CASE-013,P-0167,Witness
CASE-013,P-0148,Suspect
CASE-014,P-0467,Witness
CASE-014,P-0485,Victim
CASE-014,P-0034,Suspect
CASE-015,P-0419,Suspect
CASE-015,P-0113,Witness
CASE-015,P-0124,Suspect
CASE-015,P-0379,Victim
CASE-015,P-0586,Victim
CASE-015,P-0297,Victim
CASE-016,P-0302,Witness
CASE-016,P-0498,Person of Interest
CASE-016,P-0029,Suspect
CASE-016,P-0147,Victim
CASE-017,P-0221,Suspect
CASE-017,P-0188,Victim
CASE-017,P-0501,Suspect
CASE-017,P-0003,Suspect
CASE-018,P-0493,Victim
CASE-018,P-0587,Person of Interest
CASE-018,P-0318,Person of Interest
CASE-018,P-0580,Witness
CASE-018,P-0464,Witness
CASE-019,P-0472,Person of Interest
CASE-019,P-0461,Person of Interest
CASE-019,P-0460,Witness
CASE-019,P-0153,Person of Interest
CASE-019,P-0334,Victim
CASE-019,P-0092,Suspect
CASE-020,P-0285,Victim
CASE-020,P-0091,Suspect
CASE-020,P-0170,Suspect
CASE-020,P-0026,Witness
CASE-020,P-0586,Suspect
CASE-021,P-0535,Witness
CASE-021,P-0194,Suspect
CASE-021,P-0488,Victim
CASE-021,P-0515,Witness
CASE-021,P-0020,Witness
CASE-021,P-0124,Person of Interest
CASE-022,P-0547,Victim
CASE-022,P-0622,Person of Interest
CASE-023,P-0047,Person of Interest
CASE-023,P-0504,Suspect
CASE-023,P-0024,Victim
CASE-023,P-0349,Person of Interest
CASE-023,P-0448,Victim
CASE-023,P-0185,Suspect
CASE-024,P-0102,Witness
CASE-024,P-0555,Victim
CASE-025,P-0188,Witness
CASE-025,P-0262,Victim
CASE-025,P-0092,Person of Interest
CASE-026,P-0061,Witness
CASE-026,P-0630,Suspect
CASE-026,P-0334,Suspect
CASE-027,P-0400,Person of Interest
CASE-027,P-0102,Victim
CASE-027,P-0328,Victim
CASE-027,P-0146,Person of Interest
CASE-028,P-0054,Witness
CASE-028,P-0208,Witness
CASE-029,P-0521,Suspect
CASE-029,P-0517,Victim
CASE-029,P-0395,Person of Interest
CASE-029,P-0118,Person of Interest
CASE-029,P-0276,Suspect
CASE-030,P-0030,Victim
CASE-030,P-0418,Suspect
CASE-030,P-0649,Witness
CASE-030,P-0240,Witness
CASE-030,P-0020,Victim
CASE-031,P-0417,Victim
CASE-031,P-0457,Witness
CASE-031,P-0086,Witness
CASE-031,P-0513,Person of Interest
CASE-031,P-0209,Person of Interest
CASE-031,P-0146,Suspect
CASE-032,P-0476,Victim
CASE-032,P-0636,Witness
CASE-033,P-0062,Victim
CASE-033,P-0494,Victim
CASE-034,P-0360,Victim
CASE-034,P-0648,Suspect
CASE-034,P-0218,Witness
CASE-034,P-0600,Suspect
CASE-034,P-0523,Victim
CASE-035,P-0405,Witness
CASE-035,P-0126,Victim
CASE-036,P-0216,Victim
CASE-036,P-0626,Person of Interest
CASE-036,P-0517,Victim
CASE-036,P-0326,Witness
CASE-036,P-0351,Victim
CASE-037,P-0216,Suspect
CASE-037,P-0471,Witness
CASE-037,P-0614,Suspect
CASE-037,P-0337,Person of Interest
CASE-038,P-0010,Person of Interest
CASE-038,P-0178,Person of Interest
CASE-039,P-0552,Suspect
CASE-039,P-0084,Victim
CASE-039,P-0080,Person of Interest
CASE-039,P-0032,Victim
CASE-039,P-0456,Person of Interest
CASE-040,P-0009,Victim
CASE-040,P-0128,Witness
CASE-040,P-0474,Person of Interest
CASE-041,P-0227,Victim
CASE-041,P-0021,Victim
CASE-042,P-0093,Victim
CASE-042,P-0629,Witness
CASE-042,P-0641,Witness
CASE-043,P-0372,Witness
CASE-043,P-0038,Suspect
CASE-043,P-0288,Witness
CASE-043,P-0505,Person of Interest
CASE-043,P-0621,Suspect
CASE-044,P-0583,Witness
CASE-044,P-0513,Witness
CASE-044,P-0506,Suspect
CASE-044,P-0175,Witness
CASE-045,P-0131,Witness
CASE-045,P-0266,Victim
CASE-046,P-0024,Victim
CASE-046,P-0546,Person of Interest
CASE-046,P-0630,Suspect
CASE-047,P-0054,Suspect
CASE-047,P-0331,Person of Interest
CASE-047,P-0443,Person of Interest
CASE-047,P-0417,Victim
CASE-047,P-0281,Suspect
CASE-048,P-0049,Person of Interest
CASE-048,P-0285,Victim
CASE-048,P-0431,Suspect
CASE-049,P-0200,Witness
CASE-049,P-0343,Person of Interest
CASE-049,P-0084,Suspect
CASE-049,P-0586,Witness
CASE-049,P-0026,Witness
CASE-050,P-0338,Suspect
CASE-050,P-0319,Suspect
CASE-050,P-0065,Person of Interest
CASE-051,P-0025,Witness
CASE-051,P-0607,Suspect
CASE-051,P-0642,Person of Interest
CASE-051,P-0343,Witness
CASE-051,P-0257,Victim
CASE-052,P-0342,Witness
CASE-052,P-0533,Suspect
CASE-053,P-0635,Suspect
CASE-053,P-0450,Suspect
CASE-053,P-0098,Suspect
CASE-053,P-0641,Suspect
CASE-053,P-0458,Person of Interest
CASE-053,P-0593,Victim
CASE-054,P-0131,Person of Interest
CASE-054,P-0064,Suspect
CASE-055,P-0626,Suspect
CASE-055,P-0642,Suspect
CASE-055,P-0443,Suspect
CASE-055,P-0068,Victim
CASE-056,P-0412,Suspect
CASE-056,P-0099,Person of Interest
CASE-056,P-0633,Person of Interest
CASE-056,P-0421,Person of Interest
CASE-056,P-0239,Person of Interest
CASE-057,P-0635,Victim
CASE-057,P-0104,Witness
CASE-057,P-0348,Suspect
CASE-057,P-0027,Suspect
CASE-057,P-0465,Suspect
CASE-057,P-0530,Suspect
CASE-058,P-0199,Person of Interest
CASE-058,P-0587,Person of Interest
CASE-058,P-0130,Person of Interest
CASE-058,P-0522,Witness
CASE-058,P-0263,Witness
CASE-058,P-0364,Witness
CASE-059,P-0062,Victim
CASE-059,P-0131,Person of Interest
CASE-060,P-0367,Person of Interest
CASE-060,P-0319,Victim
CASE-060,P-0598,Victim
CASE-060,P-0555,Victim
CASE-060,P-0150,Victim
CASE-060,P-0151,Suspect
CASE-061,P-0601,Suspect
CASE-061,P-0149,Person of Interest
CASE-061,P-0059,Victim
CASE-061,P-0244,Witness
CASE-061,P-0520,Witness
CASE-061,P-0573,Witness
CASE-062,P-0350,Person of Interest
CASE-062,P-0194,Person of Interest
CASE-063,P-0340,Person of Interest
