event_id,case_id,person_id,event_type,timestamp,location,notes
EVT-0001,CASE-070,P-0426,Call Made,2026-05-27 06:00:00,Bhatpara,Call Made recorded during Drug Trafficking investigation.
EVT-0002,CASE-054,P-0480,Location Ping,2023-01-25 00:00:00,Nizamabad,Evidence Collected recorded during Extortion investigation.
EVT-0003,CASE-076,P-0007,Money Transfer,2025-07-25 15:00:00,Hindupur,Vehicle Sighted recorded during Money Laundering investigation.
EVT-0004,CASE-068,P-0133,Location Ping,2023-09-27 03:00:00,Satna,Evidence Collected recorded during Kidnapping investigation.
EVT-0005,CASE-014,P-0249,Evidence Collected,2026-03-12 15:00:00,Vadodara,Money Transfer recorded during Drug Trafficking investigation.
EVT-0006,CASE-051,P-0335,Suspect Movement,2026-05-30 20:00:00,Bally,Suspect Movement recorded during Vehicle Theft investigation.
EVT-0007,CASE-064,P-0062,Evidence Collected,2024-10-11 02:00:00,Gwalior,Vehicle Sighted recorded during Cybercrime investigation.
EVT-0008,CASE-017,P-0298,Call Made,2025-10-13 18:00:00,Anantapur,Location Ping recorded during Cybercrime investigation.
EVT-0009,CASE-071,P-0076,Witness Statement,2025-11-15 07:00:00,Loni,Vehicle Sighted recorded during Cybercrime investigation.
EVT-0010,CASE-048,P-0325,Location Ping,2024-05-09 21:00:00,Bathinda,Location Ping recorded during Extortion investigation.
EVT-0011,CASE-049,P-0450,Witness Statement,2026-09-06 17:00:00,Hapur,Suspect Movement recorded during Money Laundering investigation.
EVT-0012,CASE-001,P-0308,Call Made,2026-08-02 23:00:00,Delhi,Call Made recorded during Financial Fraud investigation.
EVT-0013,CASE-055,P-0096,Call Made,2026-04-09 19:00:00,Durg,Vehicle Sighted recorded during Kidnapping investigation.
EVT-0014,CASE-027,P-0325,Money Transfer,2025-07-12 00:00:00,Chandrapur,Evidence Collected recorded during Vehicle Theft investigation.
EVT-0015,CASE-039,P-0617,Evidence Collected,2026-11-21 13:00:00,Gurgaon,Witness Statement recorded during Extortion investigation.
EVT-0016,CASE-053,P-0584,Location Ping,2023-10-03 13:00:00,Sambalpur,Location Ping recorded during Extortion investigation.
EVT-0017,CASE-067,P-0585,Evidence Collected,2025-11-07 19:00:00,Mangalore,Call Made recorded during Assault investigation.
EVT-0018,CASE-007,P-0179,Witness Statement,2024-12-09 17:00:00,Bhiwandi,Evidence Collected recorded during Robbery investigation.
EVT-0019,CASE-016,P-0268,Call Made,2025-05-29 00:00:00,Pondicherry,Evidence Collected recorded during Assault investigation.
EVT-0020,CASE-032,P-0435,Vehicle Sighted,2023-07-18 18:00:00,Ambala,Suspect Movement recorded during Assault investigation.
EVT-0021,CASE-006,P-0493,Call Made,2024-03-15 18:00:00,Mehsana,Money Transfer recorded during Cybercrime investigation.
EVT-0022,CASE-071,P-0098,Call Made,2025-11-09 09:00:00,Jammu,Money Transfer recorded during Cybercrime investigation.
EVT-0023,CASE-009,P-0379,Vehicle Sighted,2023-03-28 02:00:00,Delhi,Location Ping recorded during Cybercrime investigation.
EVT-0024,CASE-062,P-0552,Money Transfer,2025-03-20 02:00:00,Pune,Call Made recorded during Robbery investigation.
EVT-0025,CASE-061,P-0628,Call Made,2025-04-02 09:00:00,Mysore,Witness Statement recorded during Cybercrime investigation.
EVT-0026,CASE-024,P-0387,Call Made,2026-03-05 11:00:00,Tadepalligudem,Suspect Movement recorded during Drug Trafficking investigation.
EVT-0027,CASE-080,P-0156,Call Made,2024-10-15 07:00:00,Kanpur,Call Made recorded during Extortion investigation.
EVT-0028,CASE-026,P-0132,Money Transfer,2025-12-31 04:00:00,Aligarh,Witness Statement recorded during Kidnapping investigation.
EVT-0029,CASE-032,P-0278,Call Made,2023-07-23 11:00:00,Hospet,Money Transfer recorded during Assault investigation.
EVT-0030,CASE-048,P-0239,Evidence Collected,2024-05-19 02:00:00,Surendranagar Dudhrej,Money Transfer recorded during Extortion investigation.
EVT-0031,CASE-072,P-0498,Money Transfer,2024-04-24 08:00:00,Aizawl,Suspect Movement recorded during Vehicle Theft investigation.
EVT-0032,CASE-060,P-0134,Evidence Collected,2025-08-07 02:00:00,Mangalore,Call Made recorded during Vehicle Theft investigation.
EVT-0033,CASE-077,P-0321,Suspect Movement,2026-06-10 20:00:00,Begusarai,Evidence Collected recorded during Money Laundering investigation.
EVT-0034,CASE-062,P-0088,Vehicle Sighted,2025-03-26 11:00:00,Panchkula,Suspect Movement recorded during Robbery investigation.
EVT-0035,CASE-037,P-0050,Suspect Movement,2025-04-20 12:00:00,Srikakulam,Location Ping recorded during Vehicle Theft investigation.
EVT-0036,CASE-056,P-0446,Location Ping,2025-01-07 14:00:00,Varanasi,Vehicle Sighted recorded during Vehicle Theft investigation.
EVT-0037,CASE-063,P-0279,Money Transfer,2026-03-27 04:00:00,Pudukkottai,Vehicle Sighted recorded during Cybercrime investigation.
