txn_id,sender_account_id,receiver_account_id,amount_inr,timestamp,mode
TXN-00001,A-0095,A-0240,476735.82,2025-08-10 04:27:11,IMPS
TXN-00002,A-0299,A-0041,452633.89,2025-12-17 16:46:07,RTGS
TXN-00003,A-0261,A-0383,170116.14,2024-06-21 13:35:06,UPI
TXN-00004,A-0283,A-0160,84149.38,2026-01-01 13:24:01,Cash Deposit
TXN-00005,A-0132,A-0127,69295.08,2025-10-12 05:07:03,Cash Deposit
TXN-00006,A-0102,A-0066,132612.19,2025-09-17 05:09:13,RTGS
TXN-00007,A-0246,A-0475,267603.21,2024-12-17 20:37:35,NEFT
TXN-00008,A-0012,A-0457,38497.13,2024-11-13 22:28:20,Cash Deposit
TXN-00009,A-0089,A-0197,327058.78,2025-10-05 03:52:21,NEFT
TXN-00010,A-0369,A-0135,156528.0,2024-10-25 01:11:32,IMPS
TXN-00011,A-0431,A-0252,493775.11,2026-11-22 04:02:57,NEFT
TXN-00012,A-0055,A-0149,69024.43,2026-01-13 13:49:34,IMPS
TXN-00013,A-0117,A-0032,441913.52,2025-03-23 02:12:04,IMPS
TXN-00014,A-0436,A-0034,8096.41,2025-03-25 00:34:12,UPI
TXN-00015,A-0108,A-0034,151532.55,2025-07-30 15:26:52,IMPS
TXN-00016,A-0095,A-0043,232753.73,2025-07-31 09:02:29,Cash Deposit
TXN-00017,A-0258,A-0348,168240.59,2024-02-26 13:31:08,RTGS
TXN-00018,A-0071,A-0379,482906.52,2024-09-29 17:25:07,UPI
TXN-00019,A-0483,A-0339,27010.46,2024-09-16 15:33:43,IMPS
TXN-00020,A-0289,A-0239,467548.34,2026-03-29 22:40:51,Cash Deposit
TXN-00021,A-0314,A-0299,348067.74,2026-11-27 16:22:46,IMPS
TXN-00022,A-0207,A-0344,389997.98,2026-06-12 23:35:30,UPI
TXN-00023,A-0033,A-0109,427097.06,2025-12-13 00:33:40,Cash Deposit
TXN-00024,A-0403,A-0149,84362.36,2026-02-17 16:26:45,Cash Deposit
TXN-00025,A-0362,A-0207,282586.08,2025-01-24 07:55:43,RTGS
TXN-00026,A-0014,A-0485,57034.67,2024-03-23 16:07:30,UPI
TXN-00027,A-0316,A-0443,157431.92,2025-08-01 18:10:18,IMPS
TXN-00028,A-0326,A-0095,48027.6,2024-09-19 01:39:21,NEFT
TXN-00029,A-0453,A-0432,366244.86,2026-09-17 00:17:56,NEFT
TXN-00030,A-0066,A-0490,362625.57,2026-01-26 20:45:00,NEFT
TXN-00031,A-0333,A-0368,382096.99,2024-10-10 07:39:15,UPI
TXN-00032,A-0414,A-0156,56298.14,2025-04-20 07:43:32,UPI
TXN-00033,A-0221,A-0208,339265.17,2026-08-23 11:11:31,Cash Deposit
TXN-00034,A-0299,A-0250,57680.35,2024-03-22 17:45:28,RTGS
TXN-00035,A-0270,A-0414,396007.58,2025-11-07 02:28:25,UPI
TXN-00036,A-0190,A-0253,120318.39,2026-07-18 04:40:27,UPI
TXN-00037,A-0468,A-0101,161322.13,2026-10-10 04:16:32,IMPS
TXN-00038,A-0480,A-0473,5726.29,2026-11-22 14:35:14,Cash Deposit
TXN-00039,A-0155,A-0067,435102.53,2025-03-06 14:40:49,IMPS
TXN-00040,A-0174,A-0409,360795.16,2026-11-09 19:34:40,IMPS
TXN-00041,A-0365,A-0193,35059.98,2025-02-26 16:14:15,IMPS
TXN-00042,A-0237,A-0332,432225.22,2026-10-14 12:36:42,RTGS
TXN-00043,A-0344,A-0012,347009.42,2026-01-01 23:31:30,UPI
