vehicle_id,plate_number,owner_person_id,vehicle_type,color
V-0001,RJ31KA3268,P-0414,Truck,AntiqueWhite
V-0002,GJ49VE0068,P-0015,Motorcycle,WhiteSmoke
V-0003,GJ20DK9645,P-0232,Truck,Bisque
V-0004,DL53BY7470,P-0172,Truck,MediumTurquoise
V-0005,KA22ZM3088,P-0445,Motorcycle,WhiteSmoke
V-0006,MH15FZ3461,P-0414,Car,Lavender
V-0007,PB11CT0613,P-0604,Auto-rickshaw,DarkRed
V-0008,PB40BZ1772,P-0262,Car,DarkSalmon
V-0009,DL27LC4141,P-0050,Auto-rickshaw,LightGreen
V-0010,TN45SA6896,P-0157,Car,LightPink
V-0011,UP40QD1719,P-0533,Car,DarkGoldenRod
V-0012,DL51CE3273,P-0290,Truck,DodgerBlue
V-0013,TN23SH0646,P-0536,Auto-rickshaw,Chartreuse
V-0014,WB22FA1459,P-0213,Car,Red
V-0015,WB10YU1230,P-0588,Car,MediumSeaGreen
V-0016,TN30ZH7607,P-0263,Car,OrangeRed
V-0017,KA56AG5124,P-0103,Auto-rickshaw,Maroon
V-0018,DL55UB2268,P-0119,Motorcycle,DarkSlateBlue
V-0019,GJ58LQ1523,P-0337,Truck,Chartreuse
V-0020,KA08KZ4454,P-0351,Auto-rickshaw,DarkOrchid
V-0021,RJ42XE2172,P-0490,Car,DarkTurquoise
V-0022,DL27XM9322,P-0164,Auto-rickshaw,LemonChiffon
V-0023,MP25UQ2141,P-0186,Auto-rickshaw,SpringGreen
V-0024,DL57KB4287,P-0500,Truck,PaleGoldenRod
V-0025,PB50TT3670,P-0013,Truck,Gray
V-0026,PB45SC4073,P-0532,Auto-rickshaw,Crimson
V-0027,RJ10WP0895,P-0355,Car,SkyBlue
V-0028,PB55MM2710,P-0161,Car,Salmon
V-0029,GJ16HG8306,P-0504,Motorcycle,Magenta
V-0030,RJ26VB7278,P-0564,Auto-rickshaw,Navy
V-0031,WB29HZ0292,P-0091,Car,LightSeaGreen
V-0032,RJ03PA1490,P-0414,Truck,DimGray
V-0033,PB14RL5585,P-0521,Truck,Coral
V-0034,TN55LP9830,P-0056,Auto-rickshaw,Aquamarine
V-0035,WB08CR0036,P-0373,Truck,OliveDrab
V-0036,UP36NS0751,P-0239,Motorcycle,Gainsboro
V-0037,KA53TT1753,P-0505,Truck,LightGreen
V-0038,TN13CW3533,P-0626,Auto-rickshaw,DarkGoldenRod
V-0039,GJ07UB9648,P-0196,Car,GreenYellow
V-0040,WB43QN8173,P-0462,Car,RosyBrown
V-0041,MH36YW7913,P-0544,Motorcycle,MediumSpringGreen
V-0042,KA47VC9840,P-0593,Truck,DarkGreen
V-0043,RJ27ZX4068,P-0517,Truck,DarkSeaGreen
V-0044,GJ19LD6763,P-0408,Truck,Gainsboro
